x,y
1,23.95166256
2,23.07288883
3,22.27081905
4,21.33943734
5,20.1010743
6,18.41507176
7,17.74838176
8,17.65897267
9,17.09223348
10,17.90226265
11,17.9134315
12,17.96234159
13,18.62990499
14,18.72464611
15,18.34520321
16,17.95094051
17,17.64593674
18,18.00261082
19,18.64139448
20,19.36714315
21,20.80820121
22,22.52385767
23,24.42140515
24,26.20496937
25,26.57980248
26,26.55250944
27,23.9758725
28,20.7705334
29,19.58263616
30,18.72653999
31,18.28860291
32,17.49047714
33,17.1831431
34,17.28988567
35,17.85781004
36,18.19921922
37,18.13420906
38,18.58881497
39,18.6733003
40,19.16008332
41,19.2070958
42,18.98470822
43,19.42938021
44,20.84931247
45,21.58981452
46,22.33971825
47,22.78918589
48,23.34126286
49,23.49264201
50,23.09622832
51,22.26675029
52,21.02661426
53,20.00933499
54,18.98514147
55,18.5245615
56,18.29069425
57,18.05955087
58,18.473279
59,18.72584815
60,18.55951286
61,18.17967404
62,17.76812994
63,17.44302132
64,17.34512052
65,17.43747011
66,17.89291916
67,18.912204
68,19.616197
69,20.72998682
70,21.76891307
71,22.55338984
72,22.83726683
73,23.20147738
74,22.56820629
75,22.32056755
76,20.86611186
77,18.53601835
78,17.51567245
79,17.20668975
80,17.19746046
81,17.33778359
82,17.28662296
83,17.42911049
84,17.4228793
85,17.42095612
86,17.14175783
87,17.30485846
88,17.33748279
89,17.70165093
90,17.56375289
91,18.82761634
92,19.44046487
93,20.56460497
94,21.95255079
95,21.90402218
96,22.81975416
97,22.23908319
98,22.46882449
99,21.94618288
100,21.32188831
101,19.96887384
102,18.9409031
103,18.18299315
104,17.60711327
105,17.41557125
106,17.81122388
107,18.01183715
108,17.99251107
109,17.91461075
110,17.63542977
111,17.29909594
112,16.89425341
113,17.02159113
114,17.53705472
115,19.62395692
116,21.42848625
117,22.59716229
118,24.4516364
119,26.31417983
120,27.29667258
121,27.85940089
122,26.98771524
123,26.14196529
124,24.29671351
125,21.2627784
126,19.62233665
127,18.97029366
128,18.64173108
129,18.54300284
130,18.25972095
131,17.82518352
132,17.47268774
133,17.65194608
134,17.74917919
135,17.59178818
136,17.52394164
137,17.53072011
138,18.24899645
139,20.27975179
140,21.88870961
141,23.8693783
142,25.64349244
143,27.33387017
144,30.23530763
145,31.67840142
146,32.42433235
147,33.16889807
148,30.87132211
149,26.89440976
150,24.61281505
151,22.88974643
152,21.71487362
153,20.8438711
154,19.25596997
155,18.33736865
156,17.61777081
157,17.19774444
158,16.7043133
159,16.24718113
160,16.0878619
161,15.63626353
162,15.69252876
163,16.11868551
164,17.38862583
165,18.25409101
166,19.51483274
167,20.60232663
168,21.38540668
169,21.9084984
